GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
292074706004,810,131.9928657,208.6917163,749,10,16
292074707001,447,74.556149,127.1825902,418,7,19
292074707002,1039,154.4832016,275.0824805,936,54,26
292074707003,1063,161.0304041,283.9770059,971,16,22
292074708001,1222,216.8408709,340.6731911,1171,5,14
292074708002,1942,346.9457037,536.5487304,1865,2,16
292090901011,1686,191.1002068,380.4671679,1552,9,34
292090901012,1831,254.5212862,450.3878394,1713,2,32
292090901021,1113,85.9196938,282.6316708,1004,4,9
292090901022,1373,181.0600686,422.09526,1288,2,11
292090901023,786,58.62922852,75.22829088,738,0,12
292090901024,835,64.7595872,221.3363047,765,0,28
292090902011,1175,176.0112906,261.6595765,1067,8,36
292090902012,995,196.670347,309.7231009,899,3,22
292090902021,743,158.8863821,245.0844378,693,1,8
292090902022,604,134.7777779,204.4444445,574,1,6
292090902023,1259,108.6886641,131.8141377,1138,3,41
292090904011,931,200.0592695,327.2502148,868,4,18
292090904012,1170,62.23202251,100.2151433,1094,1,21
292090904013,672,145.4949373,241.6005804,623,3,15
292090904021,664,145.6912004,248.2488278,597,4,22
292090904022,969,212.6126103,362.2787864,922,2,20
292090904023,608,128.1538357,211.706894,568,0,4
292090905011,700,156.654888,245.4603457,616,6,17
292090905012,945,210.5225018,330.4257436,853,5,22
292090905021,892,197.8115368,312.436215,827,0,23
292090905022,734,160.4538766,256.6457676,671,2,21
292090905023,1134,250.2823969,396.9690628,1047,0,28
292090905024,795,173.7885993,277.9746391,759,0,21
292090906031,379,95.5754525,133.3688855,337,1,13
292090906032,1052,233.1992885,366.081708,970,2,23
292090906041,877,194.4066311,305.1840856,836,5,24
292090906042,425,94.60994288,151.6055242,386,1,6
292090906043,440,106.5555394,156.0073469,408,2,16
292090906051,1565,279.6318428,459.5732185,1361,4,92
292090906052,409,90.66398185,142.3264435,379,2,13
292090906053,517,109.5177461,173.4181953,472,3,20
292090906061,1206,191.6775967,320.4091573,1088,3,53
292090906062,1592,238.3738826,395.3265212,1461,2,51
292114801001,444,75.16835075,129.6760852,418,1,30
292114801002,733,123.8524401,209.0919524,701,2,10
292114801003,702,115.1694997,200.3729588,634,3,46
292114802001,758,117.1282072,208.1208967,717,1,19
292114802002,523,71.52812923,127.4354595,495,3,9
292114803001,1211,154.9637178,231.3455573,945,32,225
292114803002,1061,130.210105,183.3834289,458,122,493
292114803003,567,72.36843953,107.5181061,312,44,222
292134801061,1523,220.3287903,328.7329828,1151,52,158
292134801062,711,108.620398,164.378327,524,19,84
292134801071,753,134.9340626,200.9332019,646,13,43
292134801072,980,174.3478937,258.7937077,811,18,86
292134801081,773,112.8096835,157.6537854,588,15,104
292134801082,1278,185.230636,276.3907459,1046,38,147
292134801083,1139,188.473111,278.1033618,867,23,184
292134801091,896,156.5462043,231.2603793,668,46,116
292134801092,1503,226.9573841,348.8570879,1255,20,115
292134802031,1570,226.6690143,349.8900208,1405,7,95
292134802032,608,78.85530882,131.5646318,490,4,85
292134802033,1776,248.613349,400.8982202,1552,5,68
292134802041,1601,244.7990936,424.8486076,1454,17,66
292134802042,1759,264.7122169,462.8183846,1535,6,74
292134802051,646,88.12117951,138.8940138,545,11,56
292134802052,556,75.84423508,119.5434545,501,9,24
292134802061,1512,245.059001,403.4086409,1276,20,138
