Unit 1,Unit 2,Length of border
29095003700,29095003800,0.989006609
29095003700,29095016000,0.997876122
29095003700,29095016100,0.031390902
29095003700,29095016500,1.036407409
29095003700,29095016600,1.000709667
29095003800,29095005400,0.0
29095003800,29095005601,0.990003179
29095003800,29095005700,0.0
29095003800,29095016500,0.997764359
29095003800,29095016600,0.999592849
29095004300,29095004400,1.793245998
29095004300,29095005200,0.0
29095004300,29095015800,1.375410278
29095004300,29095016100,0.0
29095004300,29095016200,1.999050784
29095004300,29095017800,0.937730124
29095004400,29095004600,0.013543179
29095004400,29095015300,1.840232645
29095004400,29095015800,2.07412302
29095004400,29095016700,0.984305629
29095004400,29095017800,0.566795744
29095004600,29095015300,1.404601082
29095004600,29095016700,2.018063983
29095004600,29095016801,0.461702742
29095004600,29095016802,0.810861148
29095005100,29095005300,0.736289432
29095005100,29095006500,0.84640505
29095005100,29095006700,0.655858949
29095005100,29095016700,0.74797716
29095005100,29095016801,0.0
29095005100,29095016900,0.0
29095005100,29095017800,1.509148411
29095005200,29095005300,0.995131487
29095005200,29095005400,1.002358585
29095005200,29095005500,0.0
29095005200,29095016200,0.990357308
29095005200,29095017800,1.003662671
29095005300,29095005400,0.0
29095005300,29095005500,0.994268639
29095005300,29095006500,0.0
29095005300,29095016900,0.994195321
29095005300,29095017800,0.254884983
29095005400,29095005500,0.993857305
29095005400,29095005601,1.001084959
29095005400,29095005602,0.0
29095005400,29095016200,0.171831678
29095005400,29095016600,0.821114372
29095005500,29095005601,0.0
29095005500,29095005602,0.993336714
29095005500,29095006100,0.0
29095005500,29095016900,0.996175564
29095005601,29095005602,0.988264961
29095005601,29095005700,0.998387284
29095005601,29095016500,0.0
29095005601,29095016600,0.0
29095005602,29095005700,0.998106978
29095005602,29095006000,0.0
29095005602,29095006100,0.990108536
29095005602,29095016900,0.0
29095005700,29095005801,1.996975214
29095005700,29095006000,0.988393047
29095005700,29095006100,0.0
29095005700,29095016400,0.0
29095005700,29095016500,0.98182987
29095005700,29095017100,0.0
29095005801,29095006000,0.0
29095005801,29095016300,1.583933957
29095005801,29095016400,1.533214883
29095005801,29095016500,0.0
