GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
29189214601,3891,785.7562224,661.8940306,2072,1018,417
29189214602,4052,719.2540062,669.4739587,2191,875,577
29189214700,6721,1292.022885,1068.50392,3259,1718,1194
29189214800,5481,1138.65306,1000.64146,3277,1341,390
29189214901,3196,677.5930042,568.9251784,1767,869,203
29189214902,3241,595.6676702,485.5688974,1392,1007,525
29189215001,2840,532.8016561,424.2212531,1314,352,125
29189215003,4412,1396.762123,1163.600988,3318,434,132
29189215004,3427,888.9457161,684.1479326,1925,794,159
29189215005,5941,1544.480555,1201.258825,3506,985,182
29189215102,4979,1356.81615,1116.999104,3251,640,250
29189215103,2577,731.8792935,625.381162,1714,323,108
29189215105,2434,649.1409666,610.8844305,1782,168,122
29189215141,4229,1359.507969,1234.976787,3312,293,95
29189215143,2901,747.469589,724.9694837,2161,254,165
29189215144,5672,1611.816345,1418.48448,3837,768,203
29189215145,4914,1114.713317,914.0470538,2625,828,299
29189215146,2632,339.3082104,228.7495375,968,648,123
29189215201,6657,1766.981602,1674.513329,4664,694,266
29189215231,4751,1388.754447,1290.416641,3706,220,207
29189215233,5234,1499.778788,1374.771876,3619,500,205
29189215234,2071,404.3942208,469.361092,1650,149,92
29189215235,4612,1319.017131,1303.162352,3377,113,144
29189215236,3250,1053.996818,1053.900286,2792,65,72
29189215301,4689,1488.560236,1243.940636,3391,285,142
29189215302,3386,1053.820069,1028.324808,2643,108,89
29189215400,5507,1736.232185,1698.831507,4741,56,140
29189215500,5260,1722.519409,1239.727161,3565,450,174
29189215600,5042,1271.750677,721.1180204,1379,2254,287
29189215700,5681,1889.622719,988.5859432,1007,3948,264
29189215801,3943,1463.436938,1022.99556,2909,596,137
29189215802,1602,445.8888132,315.8705204,1066,378,58
29189215803,2430,724.3513136,492.081008,1600,363,112
29189215901,3337,1205.881058,657.7764277,1061,1941,103
29189215902,3161,1082.379608,543.2758629,484,2430,61
29189216000,1542,482.4992529,245.5233557,218,1190,52
29189216101,3337,939.8601016,551.0704556,1725,446,176
29189216102,2262,537.0839773,294.8176358,972,615,117
29189216201,3827,1374.149426,911.4446306,2900,464,145
29189216202,3950,1362.981976,943.1458115,2933,481,156
29189216300,7068,1545.350882,975.8809843,4593,576,387
29189216401,2762,899.6815885,636.7003851,2175,65,80
29189216402,3071,867.7935323,615.2219095,2182,95,138
29189216500,5279,1382.295242,1100.000497,3668,746,165
29189216600,2492,695.4422373,587.4408225,1962,114,78
29189216700,3539,1179.294613,848.1539463,2628,487,174
29189216800,3189,1106.004552,755.3245415,2533,208,120
29189216900,2333,652.7381407,424.5247543,1663,390,81
29189217000,4002,1152.567793,790.0644644,3047,406,178
29189217200,1899,499.0735216,363.5777236,1273,287,84
29189217300,3064,880.8857024,759.1868704,2363,204,126
29189217400,4915,1381.806108,1301.717694,4094,128,153
29189217500,5587,1692.311295,1869.409822,4991,58,111
29189217600,7577,2223.256517,2510.71597,6661,86,215
29189217701,5425,1455.248833,1702.46284,4386,119,163
29189217702,7813,2140.6436,2221.636374,5984,170,599
29189217802,7426,2062.729473,2151.693532,5901,187,224
29189217806,5595,1334.926748,1506.697292,4465,163,225
29189217807,6462,1768.536952,1879.3072,5321,259,201
29189217841,5280,1489.080377,1532.057979,3954,210,148
29189217851,3168,953.4476134,1035.080642,2687,59,75
29189217852,6729,1880.384013,2201.805309,5648,147,161
29189217853,5015,1250.297627,1297.943407,3453,158,129
29189217854,2290,684.2986405,768.9171956,1880,48,61
29189217921,4833,1241.636377,1498.785844,3929,109,157
29189217923,7103,1865.293267,1980.025399,5771,217,280
29189217931,6366,1627.527216,1741.044948,5220,195,257
29189217932,5144,1371.559828,1413.798211,3793,95,152
29189217941,6016,1627.947752,1678.233574,5019,159,192
29189217942,5402,1411.641107,1444.705232,4445,144,170
29189217943,3505,845.6257089,945.445656,2649,126,104
29189217944,5818,1524.629514,1676.207003,4537,133,153
29189218012,4955,1448.075577,1554.325334,4351,74,109
29189218013,5814,1625.031101,1607.054347,4753,176,284
29189218014,1573,490.4207091,464.9139867,1420,24,39
29189218015,2914,894.2753884,972.9720547,2532,22,72
29189218016,3991,715.8888893,665.4444446,2515,319,268
29189218102,3122,721.8857594,782.6840632,2533,180,88
29189218104,1793,393.3260926,377.9725874,1334,127,193
29189218105,3616,808.2373635,793.8411436,2963,153,118
29189218201,3274,986.0264607,860.3365849,2911,96,66
29189218300,4313,1363.146981,1166.434026,3729,208,120
29189218401,4151,1285.479619,1269.943847,3770,69,112
29189218402,5054,1621.245512,1464.683355,4542,57,120
29189218500,5064,1624.177217,1444.89448,4587,74,146
29189218600,2801,902.3130575,729.1516509,2139,383,108
29189218800,6176,1995.38889,1850.444445,5706,41,178
29189218901,3425,1049.006454,715.0953633,1962,1014,106
29189218902,2928,979.8268983,756.2827371,2074,471,135
29189219100,3950,1382.147905,968.2516396,3497,68,138
29189219200,2679,853.3015667,634.45682,2391,57,96
29189219300,2170,757.34884,558.3491641,1831,115,69
29189219400,6335,2105.888729,1761.020002,5791,70,149
29189219501,4764,1534.915533,1188.963587,4098,159,176
29189219502,2553,834.4870976,689.1661987,2380,21,53
29189219601,4176,1222.141998,1061.367683,3540,214,141
29189219602,2579,828.8870072,660.1994397,2188,92,89
29189219700,5887,1440.584947,1325.656119,4798,304,253
29189219801,3782,844.4562906,802.5851372,3203,81,158
29189219802,3757,903.3207867,858.754356,3086,243,113
29189219900,6101,1248.380022,1196.855905,4804,121,182
29189220001,5090,1122.644399,1073.320147,4463,98,130
29189220002,3199,747.5755079,711.4634114,2689,133,119
29189220101,3231,551.9498073,558.2546335,2691,94,156
29189220102,4503,745.7057696,711.98953,3593,142,131
29189220200,5704,781.574838,806.8891088,4355,425,370
29189220300,1763,311.367726,298.5194458,1243,274,86
29189220441,6024,1388.265618,1596.57528,5292,146,201
29189220442,4473,1110.403714,1225.119658,4024,73,116
29189220443,4132,983.5565572,1080.271675,3605,138,99
29189220445,4940,1280.653897,1613.287272,4494,37,95
29189220446,4414,1206.424487,1460.291796,4054,40,94
29189220447,3292,660.5861596,694.1822038,2840,131,108
29189220448,5197,1250.203383,1298.175478,4402,201,193
29189220449,5189,1374.722234,1524.450156,4627,97,153
29189220450,2832,736.284219,863.1461975,2566,28,53
29189220451,4075,1034.75812,1295.931297,3708,33,101
29189220452,3881,995.3109886,1198.418022,3496,47,91
29189220501,6421,1292.924941,1269.384121,5386,179,291
29189220503,2670,633.388156,637.8094414,2292,67,80
29189220504,3873,742.3720759,733.7634979,2970,318,176
29189220601,6746,1686.501685,1671.243941,5781,149,211
29189220602,5760,1236.550021,1270.556891,4960,135,159
29189220701,3329,782.4847298,778.1567098,2916,58,89
29189220702,3867,977.221434,1003.548985,3453,24,118
29189220703,2832,728.6493999,737.9706385,2517,31,110
29189220801,5657,1534.581191,1467.14492,4837,246,187
29189220802,5073,1385.700556,1355.161608,4408,147,145
29189220803,4897,1546.863686,1541.580552,4429,33,132
29189221000,3323,835.8225036,696.5486271,2129,752,113
29189221100,1847,583.6858047,533.5333994,1676,26,47
29189221201,3875,1032.189291,1235.991374,3513,4,71
29189221202,6219,1641.696332,1901.620321,5559,53,160
29189221332,4642,1176.894181,1300.172851,4153,63,97
29189221335,5855,1669.842069,1908.107577,5193,148,127
29189221336,3781,994.7390954,1097.937369,3353,51,95
29189221337,3823,986.4323729,1056.328599,3351,48,101
29189221338,3051,619.3830486,647.1528276,2308,362,103
29189221339,3739,1024.420502,1182.010799,3362,43,94
29189221421,7476,1886.491638,2251.958094,6626,67,170
29189221423,3989,1092.319521,1294.084179,3625,24,102
29189221424,4912,1178.941522,1368.497336,4436,29,83
29189221425,5688,1399.150781,1633.336134,5003,85,123
29189221426,2944,700.8780131,806.2525081,2629,14,87
29189221502,7476,1764.324301,2190.07859,6802,57,186
29189221503,7682,1381.000001,1878.000002,6313,678,275
29189221506,5003,1267.03896,1483.701468,4260,78,153
29189221621,4512,1135.504972,1516.745583,4061,49,133
29189221624,3369,870.1703743,1030.182924,2755,45,126
29189221625,7131,1777.505832,2043.838816,5831,144,286
29189221626,5953,1595.141477,1949.762589,5057,99,178
29189221627,6677,1659.38484,2087.457429,5340,125,223
29189221629,5600,1349.560066,1666.733511,4217,67,169
29189221630,2227,632.3271332,666.6094417,1678,96,75
29189221631,5721,1237.494879,1360.204066,3530,168,437
29189221800,3098,724.274851,346.4765409,298,2479,160
29189221900,3871,1192.066386,1030.451373,3423,90,113
29189222000,3687,912.9787431,1109.41959,3411,38,67
29189222100,5298,1294.99971,1635.327115,4597,83,164
29510101100,2569,545.2190251,489.0935547,1859,164,175
29510101200,3197,812.3840797,719.5490967,2310,189,136
29510101300,4150,1109.642064,877.9517836,3006,515,272
29510101400,2704,591.268095,407.338734,1357,904,169
29510101500,2849,419.3440014,327.4908184,1418,962,234
29510101800,2829,510.386263,361.2311407,1270,1004,284
29510102100,2737,731.235272,617.7693972,2168,280,94
29510102200,5967,1839.421919,1489.846538,5229,180,228
29510102300,1814,438.538469,374.5902429,1328,103,109
29510102400,2240,564.8228406,407.7716847,1534,310,159
29510102500,1842,509.2443091,404.2185157,1407,195,85
29510103100,3331,987.4050437,810.943537,2575,345,148
29510103400,1778,548.9391677,420.1275851,1511,72,70
29510103600,1250,369.6061685,284.6022349,1011,65,46
29510103700,2507,743.5996461,575.9293921,2086,129,93
29510103800,3823,1195.527136,963.8966595,3235,179,165
29510104200,3406,1004.279307,730.9509928,2795,162,128
29510104500,2520,717.4521765,496.6675088,1772,240,130
29510105198,3960,1092.443992,627.9015753,2184,397,170
29510105200,2647,795.7290163,414.2316305,1067,1118,91
29510105300,2211,615.3754161,308.4669968,259,1770,48
