GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
29095005200,1038,242.8752482,108.9155114,204,725,52
29095005300,1437,395.9661366,193.2956864,422,798,136
29095005400,826,192.0106172,86.94880923,85,619,93
29095005500,927,231.5542524,104.330707,100,677,112
29095005601,1726,401.2231543,181.6872211,185,1234,226
29095005602,1420,358.6450376,158.2339105,113,1040,192
29095005700,2285,536.6361207,247.1155206,106,1803,252
29095005801,2172,437.3226131,246.2798188,177,1657,204
29095006000,1478,355.9376884,170.6745843,101,1138,179
29095006100,2695,659.1926802,301.5344607,232,2118,246
29095006300,1737,410.7358615,202.1146627,362,1086,172
29095006500,1632,559.2472474,305.2716718,1192,195,147
29095006600,1833,561.1866609,340.8022296,1431,125,110
29095006700,1807,561.6222738,337.0372962,1319,240,157
29095006900,1338,372.1032077,237.8280989,1052,109,88
29095007100,2993,905.1831439,560.8898284,2466,133,235
29095007200,2044,694.5989638,498.1120476,1826,32,97
29095007301,1818,430.9215725,299.2729906,1391,64,119
29095007302,1377,398.844428,274.2623041,1125,43,93
29095007400,4397,1174.494312,767.3655519,3619,93,273
29095007500,2727,598.4286449,290.3732528,1447,882,202
29095007600,2294,545.1436164,266.5596949,337,1642,205
29095007700,1665,401.2610026,176.6346782,232,1286,78
29095007802,2258,564.8120718,262.7073318,175,1855,128
29095007900,3498,929.4905963,422.3043516,252,2893,220
29095008000,3022,892.3976341,434.4380011,238,2490,190
29095008100,2113,614.3808768,298.3875231,615,1224,139
29095008200,2913,1069.993683,642.9780925,2413,125,175
29095008300,2337,893.2225301,667.4687594,2057,34,107
29095008400,2800,1038.071055,779.8093439,2524,42,96
29095008500,3573,1363.83228,957.1184711,3237,28,111
29095008600,5385,2088.878954,1381.319286,4664,274,251
29095008700,2558,690.5880019,341.5042179,430,1854,131
29095008800,3430,894.1297328,401.7437872,326,2766,241
29095008900,1950,481.6934444,265.9986449,108,1680,99
29095009000,4219,1283.818175,616.1389659,608,3161,217
29095009100,3735,1392.900668,868.3438224,3029,332,170
29095009200,2890,1074.509095,714.8641155,2522,74,133
29095009300,2394,831.0498148,553.3698394,1995,101,207
29095009400,4391,1331.312258,851.4723869,2608,1102,343
29095009500,3160,600.3940674,311.5675553,722,2032,193
29095009600,1555,277.9711123,143.9665514,352,982,144
29095009700,1592,308.1887681,155.1233191,373,998,90
29095009800,3484,991.1666667,667.8333338,2293,691,289
29095009900,2130,678.0842648,506.7056609,1641,174,142
29095010001,1801,572.0655145,438.0539809,1361,252,88
29095010002,3575,933.7024293,584.5773216,1587,1361,380
29095010103,2417,612.8717728,384.4927734,967,1134,186
29095010105,3510,1027.451238,870.9999638,2795,377,145
29095010201,1836,358.9246735,225.8170436,747,792,177
29095010203,4042,977.1056091,850.8507441,2403,1050,282
29095010204,4379,868.3767219,776.2739567,2297,1266,325
29095010500,4803,1067.449205,602.8412391,1544,2377,677
29095010600,3044,677.554912,511.5113195,1684,853,321
29095010702,3811,760.055555,558.6692042,1488,1805,356
29095011001,2451,270.4581279,275.8138894,1764,156,424
29095011002,2479,286.2913654,292.5166961,1683,235,420
29095011100,3168,587.0283335,629.6648612,2520,124,319
29095011200,3366,484.0706928,556.5892746,2537,211,365
29095011300,4810,728.6037641,851.9007703,3553,404,512
29095011405,2886,314.0175601,306.3098277,1499,694,480
29095011406,6000,1049.279971,1196.601939,4580,362,605
29095011407,3333,606.1818834,630.0835716,2406,320,364
29095011408,1546,284.6755848,294.0788083,1114,255,113
29095011409,1581,259.7940527,272.8987328,1214,113,129
29095011410,2553,364.3163987,393.5069026,2019,97,207
29095011501,4271,625.4348715,633.606327,2929,383,625
29095011502,1752,259.0343029,264.3693594,1075,277,193
29095011601,2759,417.0319782,402.2764492,2064,274,283
29095011602,2333,357.6528665,363.9931069,1855,175,171
29095011701,2113,279.3279681,262.255213,1399,245,436
29095011702,2257,343.1459141,331.1505119,1656,168,323
29095011800,5477,695.4790679,661.9007346,3644,488,1037
29095011900,3771,620.7081139,594.8601859,2589,307,778
29095012000,3647,623.9196737,613.3955728,2316,419,729
29095012100,5871,1030.799199,1065.155491,3949,577,979
29095012200,6548,1172.086271,1220.953285,4907,497,732
29095012300,3505,656.07819,709.4523989,2810,151,326
29095012400,4216,808.7581724,797.2884034,2826,605,522
29095012501,3727,776.4279417,617.9374709,1918,1252,347
29095012502,3056,692.8317276,602.656378,1856,758,224
29095012600,4803,1028.431787,814.5199249,2685,1310,489
29095012702,4214,1048.363255,886.4043413,2321,1410,209
29095012703,2307,530.1578051,508.2583246,1449,579,162
29095012802,3772,916.8489642,754.6892415,1956,1407,192
29095012803,2142,490.4551002,400.98454,1281,549,140
29095012804,6120,1481.577935,1060.105802,2745,2494,536
29095012903,3577,826.5364288,471.054373,1021,1974,349
29095012904,2645,710.6832668,452.5158857,853,1354,233
29095012906,4562,1012.35748,593.0951118,1421,2373,373
29095013003,4842,1103.083185,692.2888358,1459,2578,513
29095013100,2983,696.4165854,433.6060485,1031,1512,322
29095013203,4102,747.4190482,421.9837547,1050,2301,572
29095013208,3022,587.572697,368.8491988,581,2104,207
29095013210,2564,477.9927715,279.4315221,588,1681,212
