Unit 1,Unit 2,Length of shared border
29189212400,29189212002,0
29189212400,29189212102,0
29189212003,29189212002,0
29189212003,29189212102,0
29189212002,29189212102,0
29189212400,29189212102,1.216243014
29091090600,29149480100,4.100086032
29091090300,29149480100,14.46421979
29203470200,29149480100,48.18016284
29035960200,29149480100,20.10552737
29181870200,29149480100,32.0503903
29149480300,29149480100,104.6159185
29149480200,29149480100,31.75537169
29091090600,29149480200,37.53340745
29149480200,29149480300,51.83170448
29149480200,other,15.86212615
29181870200,29149480300,13.34816608
29149480300,other,44.80915014
29189217932,29189217941,0.431251709
29189217802,29189217941,1.287507301
29189218016,29189217941,2.012837348
29189218013,29189217941,1.906657553
29189218105,29189218013,0
29189218105,29189217942,0
29189218105,29189217941,0
29189218013,29189217942,0
29189218013,29189217941,0
29189217942,29189217941,0
29189217942,29189217941,3.190306558
29189217942,29189217932,3.564608975
29189218105,29189217942,0.544432126
29189218102,29189217942,3.861409818
29189217942,29189221421,1.089553009
29189218201,29189218300,2.193329639
29189218402,29189218300,2.033522511
29189218402,29189218600,0
29189218402,29189218500,0
29189218402,29189218300,0
29189218600,29189218500,0
29189218600,29189218300,0
29189218500,29189218300,0
29189218600,29189218300,2.292567967
29189221100,29189221000,0
29189221100,29189218600,0
29189221100,29189218300,0
29189221000,29189218600,0
29189221000,29189218300,0
29189218600,29189218300,0
29189221100,29189218300,2.011677057
29189218402,29189218500,2.329659164
29189217600,29189218500,0.476511659
29189217500,29189218500,1.896562551
29189218800,29189218500,2.708026379
29189218600,29189218500,1.632018297
29189218800,29189218600,0.041603621
29189218600,29189221900,2.051549647
29189221000,29189218600,1.678285146
29071800702,29189221502,6.838173738
29189221621,29071800702,0
29189221621,29189221502,0
29189221621,29071800102,0
29071800702,29189221502,0
29071800702,29071800102,0
29189221502,29071800102,0
29189221621,29189221502,5.880387863
29189221502,29189222100,9.931026179
29189221502,29189221421,7.225117439
29189221502,29071800704,0.019771564
29189212600,29189212500,1.114969133
29189211700,29189212500,2.31303275
29189211802,29189212500,0.325265064
29189212500,29189212002,0.883371724
29189212701,29189212500,0.441829104
29189211500,29189212600,1.423279908
29189211600,29189212600,2.725935494
29189211700,29189212600,2.885306252
29189212701,29189212600,0.24496249
29189212600,29189212702,1.19514473
29189218014,29189218015,0.015427112
29189218013,29189218015,3.042668706
29189218016,29189218015,2.198623165
29189220447,29189221332,0.646997743
29189220447,29189221338,1.31211302
29189220447,29189221336,1.358451333
29189220447,29189220448,1.743843069
29189220450,29189220447,0.697049606
29189220447,29189220449,2.428711935
29111970200,29111970100,28.06323875
29045950200,29111970100,12.48208507
29111970100,other,19.53170507
29111970400,29111970100,15.63166433
29111970300,29111970100,14.67452711
29111970400,29111970300,36.97019792
29111970400,other,25.20601127
